Timestamp,Age,Gender,Institution/college,How many hours do you study per week on average?,On how many days per week do you study consistently?,How much time do you spend on smartphone/social media daily?,"Smartphone_Time_Cleaned
",I feel stressed about my studies.,I often delay starting assignments or studying until the last moment.,Your current GPA / Academic performance,Procrastination_Label,,,,,Q
1/27/2026 12:20:25,20,0,liet,7.5,7.5,,,5,5,,1,,,,,
1/27/2026 12:24:38,20,0,Lords Institute of engineering and technology,7.5,7.5,4,,3,5,,1,,,,,
1/27/2026 12:30:46,22,1,Lords Institute of Engineering & Technology ,4,4,5>,5,5,5,,1,,,,,
1/27/2026 12:33:45,22,1,Shadan institute of medical sciences ,7.5,7.5,4,,4,5,,1,,,,,
1/27/2026 12:34:08,22,1,shadan medical college,4,4,5>,5,1,5,,1,,,,,
1/27/2026 12:35:27,21,1,Shadan institute of medical science,7.5,7.5,4,,5,5,,1,,,,,
1/27/2026 12:40:58,20,0,"Government degree college for women , begumpet",4,4,2 hrs,2,5,3,,0,,,,,
1/27/2026 12:46:05,16,0,Narayana junior college ,7.5,7.5,5>,5,5,5,,1,,,,,
1/27/2026 13:06:27,20,1,Shadan institute of medical sciences ,4,4,4,,5,5,,1,,,,,
1/27/2026 13:29:53,19,0,Shadan college of engineering and technology ,7.5,7.5,4,,5,1,,0,,,,,
1/27/2026 13:46:22,18,1,Lords ,17,17,Option 3,3,5,5,,1,,,,,
1/27/2026 13:46:43,19,1,LIET,7.5,7.5,2 hrs,2,2,4,,1,,,,,
1/27/2026 13:47:14,20,1,Lords Institute of Engineering and Technology ,17,17,5>,5,5,3,,0,,,,,
1/27/2026 13:47:17,20,1,Lords Institute of Engineering and Technology ,4,4,2 hrs,2,3,3,,0,,,,,
1/27/2026 13:50:13,20,0,Shadan degree college ,7.5,7.5,4,,5,4,,1,,,,,
1/27/2026 13:52:57,20,1,Lords institute of engineering and technology ,7.5,7.5,4,,3,2,,0,,,,,
1/27/2026 13:56:28,21,1,Lords ,7.5,7.5,<1 hr,1,3,3,,0,,,,,
1/27/2026 13:56:54,20,1,Lords institute of engineering and technology ,4,4,2 hrs,2,3,1,,0,,,,,
1/27/2026 14:00:07,20,1,Lords institute of engineering and technology,4,4,5>,5,5,1,,0,,,,,
1/27/2026 14:00:55,20,1,LIET,13,13,4,,2,1,,0,,,,,
1/27/2026 14:04:10,22,1,Lords institute of engineering and technology ,17,17,5>,5,2,1,,0,,,,,
1/27/2026 14:05:18,19,1,LIET,4,4,5>,5,5,2,,0,,,,,
1/27/2026 14:07:51,20,1,Lords Institute of Engineering and technology ,17,17,2 hrs,2,4,4,,1,,,,,
1/27/2026 14:08:57,21,1,Lords institute of engineering and technology,17,17,4,,3,1,,0,,,,,
1/27/2026 14:09:46,20,1,Matrusri engineering college,4,4,5>,5,1,5,,1,,,,,
1/27/2026 14:14:47,19,0,Lords institute of engineering and technology ,4,4,2 hrs,2,1,1,,0,,,,,
1/27/2026 14:16:29,25,0,Akm ,4,4,<1 hr,1,1,5,,1,,,,,
1/27/2026 14:27:12,20,1,Lords Institute of engineering and technology,7.5,7.5,2 hrs,2,3,4,,1,,,,,
1/27/2026 14:29:00,19,1,Lords institute of engineering and technology ,17,17,4,,1,2,,0,,,,,
1/27/2026 14:31:41,20,0,Lords institute of engineering and technology ,4,4,Option 3,3,2,4,,1,,,,,
1/27/2026 15:00:51,21,1,Shadan institute of medical science ,4,4,4,,3,5,,1,,,,,
1/27/2026 15:03:03,21,0,Lords Institute of engineering and technology,13,13,Option 3,3,3,4,,1,,,,,
